"DRel";"RRel";"ProbeSaliency";"participant";"err"
"DR";"RC";"nonsalient";66;0,25
"DC";"RR";"nonsalient";66;0,142857142857143
"DR";"RR";"nonsalient";66;0
"DC";"RC";"salient";66;0
"DR";"RC";"salient";66;0
"DC";"RR";"salient";66;0
"DR";"RR";"salient";66;0,142857142857143
"DC";"RC";"nonsalient";67;0
"DR";"RC";"nonsalient";67;0,166666666666667
"DC";"RR";"nonsalient";67;0,111111111111111
"DR";"RR";"nonsalient";67;0
"DC";"RC";"salient";67;0,111111111111111
"DR";"RC";"salient";67;0,25
"DC";"RR";"salient";67;0
"DR";"RR";"salient";67;0
"DC";"RC";"nonsalient";68;0,25
"DR";"RC";"nonsalient";68;0,142857142857143
"DC";"RR";"nonsalient";68;0,5
"DR";"RR";"nonsalient";68;0
"DC";"RC";"salient";68;0
"DR";"RC";"salient";68;0,4
"DC";"RR";"salient";68;0
"DR";"RR";"salient";68;0,25
"DC";"RC";"nonsalient";69;0,25
"DR";"RC";"nonsalient";69;0,142857142857143
"DC";"RR";"nonsalient";69;0,1
"DR";"RR";"nonsalient";69;0
"DC";"RC";"salient";69;0,285714285714286
"DR";"RC";"salient";69;0,125
"DC";"RR";"salient";69;0,2
"DR";"RR";"salient";69;0
"DC";"RC";"nonsalient";70;0
"DR";"RC";"nonsalient";70;0
"DC";"RR";"nonsalient";70;0
"DR";"RR";"nonsalient";70;0
"DC";"RC";"salient";70;0
"DR";"RC";"salient";70;0
"DC";"RR";"salient";70;0
"DR";"RR";"salient";70;0
"DC";"RC";"nonsalient";72;0,2
"DR";"RC";"nonsalient";72;0,166666666666667
"DC";"RR";"nonsalient";72;0
"DR";"RR";"nonsalient";72;0
"DC";"RC";"salient";72;0
"DR";"RC";"salient";72;0,416666666666667
"DC";"RR";"salient";72;0,25
"DR";"RR";"salient";72;0
"DC";"RC";"nonsalient";73;0
"DR";"RC";"nonsalient";73;0,166666666666667
"DC";"RR";"nonsalient";73;0
"DR";"RR";"nonsalient";73;0,125
"DC";"RC";"salient";73;0,125
"DR";"RC";"salient";73;0,0833333333333333
"DC";"RR";"salient";73;0,333333333333333
"DR";"RR";"salient";73;0
"DC";"RC";"nonsalient";74;0
"DR";"RC";"nonsalient";74;0
"DC";"RR";"nonsalient";74;0
"DR";"RR";"nonsalient";74;0
"DC";"RC";"salient";74;0
"DR";"RC";"salient";74;0
"DC";"RR";"salient";74;0
"DR";"RR";"salient";74;0
"DC";"RC";"nonsalient";75;0
"DR";"RC";"nonsalient";75;0,2
"DC";"RR";"nonsalient";75;0
"DR";"RR";"nonsalient";75;0,222222222222222
"DC";"RC";"salient";75;0,333333333333333
"DR";"RC";"salient";75;0,222222222222222
"DC";"RR";"salient";75;0,142857142857143
"DR";"RR";"salient";75;0
"DC";"RC";"nonsalient";76;0,25
"DR";"RC";"nonsalient";76;0
"DC";"RR";"nonsalient";76;0,428571428571429
"DR";"RR";"nonsalient";76;0
"DC";"RC";"salient";76;0
"DR";"RC";"salient";76;0
"DC";"RR";"salient";76;0,142857142857143
"DR";"RR";"salient";76;0
"DC";"RC";"nonsalient";77;0
"DR";"RC";"nonsalient";77;0
"DC";"RR";"nonsalient";77;0,125
"DR";"RR";"nonsalient";77;0,6
"DC";"RC";"salient";77;0
"DR";"RC";"salient";77;0,25
"DC";"RR";"salient";77;0
"DR";"RR";"salient";77;0
"DC";"RC";"nonsalient";78;0
"DR";"RC";"nonsalient";78;0
"DC";"RR";"nonsalient";78;0
"DR";"RR";"nonsalient";78;0,25
"DC";"RC";"salient";78;0
"DR";"RC";"salient";78;0,272727272727273
"DC";"RR";"salient";78;0,2
"DR";"RR";"salient";78;0
"DC";"RC";"nonsalient";80;0
"DR";"RC";"nonsalient";80;0
"DC";"RR";"nonsalient";80;0
"DR";"RR";"nonsalient";80;0
"DC";"RC";"salient";80;0
"DR";"RC";"salient";80;0,111111111111111
"DC";"RR";"salient";80;0
"DR";"RR";"salient";80;0
"DC";"RC";"nonsalient";81;0
"DR";"RC";"nonsalient";81;0,166666666666667
"DC";"RR";"nonsalient";81;0
"DR";"RR";"nonsalient";81;0
"DC";"RC";"salient";81;0,333333333333333
"DR";"RC";"salient";81;0,333333333333333
"DC";"RR";"salient";81;0
"DR";"RR";"salient";81;0
"DC";"RC";"nonsalient";87;0
"DR";"RC";"nonsalient";87;0
"DC";"RR";"nonsalient";87;0
"DR";"RR";"nonsalient";87;0
"DC";"RC";"salient";87;0,142857142857143
"DR";"RC";"salient";87;0
"DC";"RR";"salient";87;0
"DR";"RR";"salient";87;0,166666666666667
"DC";"RC";"nonsalient";95;0
"DR";"RC";"nonsalient";95;0
"DC";"RR";"nonsalient";95;0
"DR";"RR";"nonsalient";95;0
"DC";"RC";"salient";95;0
"DR";"RC";"salient";95;0,142857142857143
"DC";"RR";"salient";95;0
"DR";"RR";"salient";95;0
"DC";"RC";"nonsalient";97;0
"DR";"RC";"nonsalient";97;0,285714285714286
"DC";"RR";"nonsalient";97;0
"DR";"RR";"nonsalient";97;0
"DC";"RC";"salient";97;0
"DR";"RC";"salient";97;0
"DC";"RR";"salient";97;0,111111111111111
"DR";"RR";"salient";97;0,333333333333333
"DC";"RC";"nonsalient";98;0
"DR";"RC";"nonsalient";98;0
"DC";"RR";"nonsalient";98;0
"DR";"RR";"nonsalient";98;0
"DC";"RC";"salient";98;0
"DR";"RC";"salient";98;0
"DC";"RR";"salient";98;0
"DR";"RR";"salient";98;0
"DC";"RC";"nonsalient";100;0
"DR";"RC";"nonsalient";100;0
"DC";"RR";"nonsalient";100;0
"DR";"RR";"nonsalient";100;0
"DC";"RC";"salient";100;0,25
"DR";"RC";"salient";100;0
"DC";"RR";"salient";100;0
"DR";"RR";"salient";100;0
"DC";"RC";"nonsalient";101;0,166666666666667
"DR";"RC";"nonsalient";101;0
"DC";"RR";"nonsalient";101;0,1
"DR";"RR";"nonsalient";101;0
"DC";"RC";"salient";101;0
"DR";"RC";"salient";101;0,5
"DC";"RR";"salient";101;0,25
"DR";"RR";"salient";101;0,125
"DC";"RC";"nonsalient";102;0
"DR";"RC";"nonsalient";102;0
"DC";"RR";"nonsalient";102;0,166666666666667
"DR";"RR";"nonsalient";102;0
"DC";"RC";"salient";102;0
"DR";"RC";"salient";102;0
"DC";"RR";"salient";102;0
"DR";"RR";"salient";102;0,5
"DC";"RC";"nonsalient";103;0,222222222222222
"DR";"RC";"nonsalient";103;0
"DC";"RR";"nonsalient";103;0
"DR";"RR";"nonsalient";103;0,222222222222222
"DC";"RC";"salient";103;0,222222222222222
"DR";"RC";"salient";103;0,142857142857143
"DC";"RR";"salient";103;0
"DR";"RR";"salient";103;0,142857142857143
"DC";"RC";"nonsalient";104;0,2
"DR";"RC";"nonsalient";104;0
"DC";"RR";"nonsalient";104;0
"DR";"RR";"nonsalient";104;0,25
"DC";"RC";"salient";104;0
"DR";"RC";"salient";104;0,142857142857143
"DC";"RR";"salient";104;0
"DR";"RR";"salient";104;0,1
"DC";"RC";"nonsalient";105;0
"DR";"RC";"nonsalient";105;0
"DC";"RR";"nonsalient";105;0,2
"DR";"RR";"nonsalient";105;0
"DC";"RC";"salient";105;0,1
"DR";"RC";"salient";105;0,125
"DC";"RR";"salient";105;0,25
"DR";"RR";"salient";105;0,2
"DC";"RC";"nonsalient";106;0
"DR";"RC";"nonsalient";106;0
"DC";"RR";"nonsalient";106;0
"DR";"RR";"nonsalient";106;0
"DC";"RC";"salient";106;0
"DR";"RC";"salient";106;0
"DC";"RR";"salient";106;0
"DR";"RR";"salient";106;0
"DC";"RC";"nonsalient";107;0,125
"DR";"RC";"nonsalient";107;0,428571428571429
"DC";"RR";"nonsalient";107;0
"DR";"RR";"nonsalient";107;0
"DC";"RC";"salient";107;0,142857142857143
"DR";"RC";"salient";107;0,222222222222222
"DC";"RR";"salient";107;0,333333333333333
"DR";"RR";"salient";107;0
"DC";"RC";"nonsalient";108;0,2
"DR";"RC";"nonsalient";108;0
"DC";"RR";"nonsalient";108;0,0909090909090909
"DR";"RR";"nonsalient";108;0,166666666666667
"DC";"RC";"salient";108;0
"DR";"RC";"salient";108;0
"DC";"RR";"salient";108;0
"DR";"RR";"salient";108;0
