"DRel";"RRel";"ProbeSaliency";"participant";"RT_io"
"DC";"RC";"nonsalient";45;513,664999991306
"DR";"RC";"nonsalient";45;530,672500007009
"DC";"RR";"nonsalient";45;544,728999957442
"DR";"RR";"nonsalient";45;478,948181780817
"DC";"RC";"salient";45;496,198999974876
"DR";"RC";"salient";45;512,925000002724
"DC";"RR";"salient";45;577,56399998907
"DR";"RR";"salient";45;487,740555519445
"DC";"RC";"nonsalient";47;580,857142857163
"DR";"RC";"nonsalient";47;536,99999999994
"DC";"RR";"nonsalient";47;536,999999999989
"DR";"RR";"nonsalient";47;511,499999999955
"DC";"RC";"salient";47;572,111111111124
"DR";"RC";"salient";47;616,50000000003
"DC";"RR";"salient";47;605,500000000021
"DR";"RR";"salient";47;547,200000000021
"DC";"RC";"nonsalient";48;617,142857142815
"DR";"RC";"nonsalient";48;584,50000000001
"DC";"RR";"nonsalient";48;662,249999999972
"DR";"RR";"nonsalient";48;663,124999999979
"DC";"RC";"salient";48;650,800000000004
"DR";"RC";"salient";48;603,000000000009
"DC";"RR";"salient";48;692,166666666632
"DR";"RR";"salient";48;719,200000000001
"DC";"RC";"nonsalient";50;716,405625002153
"DR";"RC";"nonsalient";50;678,993571431095
"DC";"RR";"nonsalient";50;703,304999988177
"DR";"RR";"nonsalient";50;616,309999997611
"DC";"RC";"salient";50;501,675833331963
"DR";"RC";"salient";50;658,129999996087
"DC";"RR";"salient";50;704,408333332847
"DR";"RR";"salient";50;454,815624996627
"DC";"RC";"nonsalient";51;488,233125004626
"DR";"RC";"nonsalient";51;490,665000019362
"DC";"RR";"nonsalient";51;484,47500000475
"DR";"RR";"nonsalient";51;513,848333328497
"DC";"RC";"salient";51;653,668333310634
"DR";"RC";"salient";51;490,565714284977
"DC";"RR";"salient";51;548,773749993416
"DR";"RR";"salient";51;487,245999998413
"DC";"RC";"nonsalient";52;640,532499999665
"DR";"RC";"nonsalient";52;585,429999999178
"DC";"RR";"nonsalient";52;578,512142857254
"DR";"RR";"nonsalient";52;613,697500000882
"DC";"RC";"salient";52;620,966999998222
"DR";"RC";"salient";52;517,385000002832
"DC";"RR";"salient";52;574,810000000184
"DR";"RR";"salient";52;516,305555555581
"DC";"RC";"nonsalient";53;558,105624993914
"DR";"RC";"nonsalient";53;543,620000001587
"DC";"RR";"nonsalient";53;652,745000009114
"DR";"RR";"nonsalient";53;606,359999992752
"DC";"RC";"salient";53;667,601999995532
"DR";"RC";"salient";53;831,881249992875
"DC";"RR";"salient";53;498,640833340081
"DR";"RR";"salient";53;666,894000006141
"DC";"RC";"nonsalient";54;658,949375007069
"DR";"RC";"nonsalient";54;648,801666645644
"DC";"RR";"nonsalient";54;632,563571412382
"DR";"RR";"nonsalient";54;699,734999984503
"DC";"RC";"salient";54;669,258333354568
"DR";"RC";"salient";54;605,827142883624
"DC";"RR";"salient";54;670,537222215595
"DR";"RR";"salient";54;665,312857150899
"DC";"RC";"nonsalient";55;811,295833283414
"DR";"RC";"nonsalient";55;762,63142856104
"DC";"RR";"nonsalient";55;784,827142820826
"DR";"RR";"nonsalient";55;889,756000041962
"DC";"RC";"salient";55;769,426499982365
"DR";"RC";"salient";55;722,864999994636
"DC";"RR";"salient";55;736,201000027358
"DR";"RR";"salient";55;704,497000016272
"DC";"RC";"nonsalient";56;659,19499998563
"DR";"RC";"nonsalient";56;556,832000007853
"DC";"RR";"nonsalient";56;760,311250000086
"DR";"RR";"nonsalient";56;741,247500001919
"DC";"RC";"salient";56;679,579999996348
"DR";"RC";"salient";56;629,111666668905
"DC";"RR";"salient";56;756,39666665423
"DR";"RR";"salient";56;785,152777777208
"DC";"RC";"nonsalient";57;528,904999999213
"DR";"RC";"nonsalient";57;523,274375002075
"DC";"RR";"nonsalient";57;565,3787500014
"DR";"RR";"nonsalient";57;485,962083335229
"DC";"RC";"salient";57;462,612499999523
"DR";"RC";"salient";57;490,358124998266
"DC";"RR";"salient";57;433,477500002482
"DR";"RR";"salient";57;506,446874996982
"DC";"RC";"nonsalient";58;469,889444447795
"DR";"RC";"nonsalient";58;501,432500001101
"DC";"RR";"nonsalient";58;454,186999995727
"DR";"RR";"nonsalient";58;493,027999997139
"DC";"RC";"salient";58;540,043333331899
"DR";"RC";"salient";58;522,820000012871
"DC";"RR";"salient";58;465,17714285957
"DR";"RR";"salient";58;439,738333322263
"DC";"RC";"nonsalient";59;538,607857144338
"DR";"RC";"nonsalient";59;638,704999993529
"DC";"RR";"nonsalient";59;583,455000004809
"DR";"RR";"nonsalient";59;496,164166678985
"DC";"RC";"salient";59;633,565555556238
"DR";"RC";"salient";59;570,17900000792
"DC";"RR";"salient";59;603,967999998713
"DR";"RR";"salient";59;528,228333336301
"DC";"RC";"nonsalient";61;463,130625004851
"DR";"RC";"nonsalient";61;451,538999995682
"DC";"RR";"nonsalient";61;548,47900000168
"DR";"RR";"nonsalient";61;452,980999986175
"DC";"RC";"salient";61;454,950000004222
"DR";"RC";"salient";61;526,507142860542
"DC";"RR";"salient";61;489,96600000537
"DR";"RR";"salient";61;495,504999994799
"DC";"RC";"nonsalient";62;601,66666666665
"DR";"RC";"nonsalient";62;703,625000000017
"DC";"RR";"nonsalient";62;697,666666666692
"DR";"RR";"nonsalient";62;597,000000000094
"DC";"RC";"salient";62;585,333333333324
"DR";"RC";"salient";62;612,500000000025
"DC";"RR";"salient";62;651,66666666668
"DR";"RR";"salient";62;593,200000000024
"DC";"RC";"nonsalient";66;435,848333368388
"DR";"RC";"nonsalient";66;610,136666684411
"DC";"RR";"nonsalient";66;584,3041666861
"DR";"RR";"nonsalient";66;539,404999980304
"DC";"RC";"salient";66;451,581000047736
"DR";"RC";"salient";66;446,885000029579
"DC";"RR";"salient";66;485,249999997905
"DR";"RR";"salient";66;480,38500000257
"DC";"RC";"nonsalient";67;643,232499998647
"DR";"RC";"nonsalient";67;584,683999999811
"DC";"RR";"nonsalient";67;552,674374998801
"DR";"RR";"nonsalient";67;602,425625000293
"DC";"RC";"salient";67;618,952499998969
"DR";"RC";"salient";67;575,027499999218
"DC";"RR";"salient";67;634,026000001063
"DR";"RR";"salient";67;574,25562499786
"DC";"RC";"nonsalient";68;411,745000164956
"DR";"RC";"nonsalient";68;506,871249875985
"DC";"RR";"nonsalient";68;602,955000009388
"DR";"RR";"nonsalient";68;512,953333362626
"DC";"RC";"salient";68;594,601666632419
"DR";"RC";"salient";68;489,682500017807
"DC";"RR";"salient";68;500,179000012577
"DR";"RR";"salient";68;484,388333318445
"DC";"RC";"nonsalient";69;647,800000000029
"DR";"RC";"nonsalient";69;604,200000000037
"DC";"RR";"nonsalient";69;616,499999999988
"DR";"RR";"nonsalient";69;630,500000000003
"DC";"RC";"salient";69;767,200000000025
"DR";"RC";"salient";69;552,428571428582
"DC";"RR";"salient";69;602,499999999992
"DR";"RR";"salient";69;600,399999999968
"DC";"RC";"nonsalient";70;503,247000000511
"DR";"RC";"nonsalient";70;546,750714287165
"DC";"RR";"nonsalient";70;470,188636363136
"DR";"RR";"nonsalient";70;524,467499999503
"DC";"RC";"salient";70;497,391666668894
"DR";"RC";"salient";70;558,904999998017
"DC";"RR";"salient";70;509,049999999206
"DR";"RR";"salient";70;483,816249994561
"DC";"RC";"nonsalient";72;667,374999999993
"DR";"RC";"nonsalient";72;582,999999999999
"DC";"RR";"nonsalient";72;552,333333333346
"DR";"RR";"nonsalient";72;628,428571428604
"DC";"RC";"salient";72;628,000000000099
"DR";"RC";"salient";72;586,285714285688
