AwareResp.keys,AwareResp.corr,AwareResp.rt,AwareQ_loop.thisRepN,AwareQ_loop.thisTrialN,AwareQ_loop.thisN,AwareQ_loop.thisIndex,AwareQ_loop.ran,AwareQ,participant,PROLIFIC_ID,Solution,Block,Condition,Saliency,SalD,NSalD,CAResponse.keys,CAResponse.corr,CALearntrials.thisRepN,CALearntrials.thisTrialN,CALearntrials.thisN,CALearntrials.thisIndex,CALearntrials.ran,CA_Proceed.keys,CA_Proceed.rt,CAResponse_2.keys,CAResponse_2.corr,CAResponse_2.rt,CA_trials.thisRepN,CA_trials.thisTrialN,CA_trials.thisN,CA_trials.thisIndex,CA_trials.ran,Target
u,1,1.448375,0,3,3,3,1,"What response almost always followed a red ""G""? Press the relevant response key (""e"" or ""u"") on the keyboard or press ""t"" if you do not know.",101,5e67a93207df7604de3947ae,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t,0,1.28212,0,4,4,4,1,"What response almost always followed ""L""?  Press the relevant response key (""e"" or ""u"") on the keyboard or press ""t"" if you do not know.",101,5e67a93207df7604de3947ae,e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t,0,0.47895,0,5,5,5,1,"What response almost always followed ""X""? Press the relevant response key (""e"" or ""u"") on the keyboard or press ""t"" if you do not know.",101,5e67a93207df7604de3947ae,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,NonSalient,NA,X,"[""u""]",1,0,10,10,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,NonSalient,NA,L,"[""e""]",1,0,16,16,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,NonSalient,NA,X,"[""u""]",1,0,24,24,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,NonSalient,NA,L,"[""e""]",1,0,28,28,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,Salient,G,NA,"[""u""]",1,0,30,30,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,Salient,V,NA,"[""e""]",1,0,37,37,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5e1ddb3fff2b7f1483078831,NA,CG Learn,LearnGuess,Salient,G,NA,"[""u""]",1,0,43,43,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
