"ResponseType";"RT_io";"CorrectAnswer";"Distance";"Distance_type";"Condition";"ACC_trials";"Validity";"Saliency";"SalD";"NSalD";"Target";"RT_Trials";"participant";"val";"sal"
"RC";660,150000010617;"u";2;2;"learn";1;"valid";"G";"G";"X";8;660,150000010617;56;1;NA
"RR";838,980000000447;"u";1;1;"learn";1;"valid";"G";"G";"X";6;838,980000000447;56;1;NA
"RR";740,489999996498;"u";1;1;"learn";1;"valid";"G";"G";"X";8;740,489999996498;56;1;NA
"RR";472,940000006929;"u";1;1;"test";1;"valid";"Salient";"G";NA;6;472,940000006929;56;1;1
"RR";523,515000008047;"e";5;1;"learn";1;"valid";"V";"V";"L";7;523,515000008047;56;1;NA
"RR";1105,06500001065;"u";2;2;"test";1;"valid";"Salient";"G";NA;8;1105,06500001065;56;1;1
"RR";673,349999997299;"u";1;2;"test";1;"valid";"Salient";"G";NA;4;673,349999997299;56;1;1
"RC";656,660000036936;"e";1;2;"learn";1;"invalid";"G";"G";"X";5;656,660000036936;56;-1;NA
"RR";1221,0100000375;"e";4;1;"learn";1;"valid";"V";"V";"L";3;1221,0100000375;56;1;NA
"RC";588,195000018459;"u";1;1;"test";1;"invalid";"Salient";"V";NA;2;588,195000018459;56;-1;1
"RC";622,044999967329;"e";1;2;"learn";1;"valid";"V";"V";"L";5;622,044999967329;56;1;NA
"RC";NA;"u";4;1;"learn";1;"valid";"G";"G";"X";8;1507,78500002343;56;1;NA
"RR";667,770000000019;"u";1;1;"learn";1;"valid";"G";"G";"X";6;667,770000000019;56;1;NA
"RC";672,539999999572;"e";1;1;"learn";1;"invalid";"G";"G";"X";5;672,539999999572;56;-1;NA
"RC";707,540000032168;"u";1;1;"learn";1;"valid";"G";"G";"X";8;707,540000032168;56;1;NA
"RR";855,775000003632;"u";1;1;"learn";1;"valid";"G";"G";"X";4;855,775000003632;56;1;NA
"RC";NA;"u";6;1;"test";0;"invalid";"Salient";"V";NA;8;NA;56;-1;1
"RR";589,305000030436;"u";2;1;"learn";1;"valid";"G";"G";"X";2;589,305000030436;56;1;NA
"RC";540,990000008605;"e";8;1;"test";1;"valid";"Salient";"V";NA;9;540,990000008605;56;1;1
"RR";706,945000041742;"e";1;2;"learn";1;"valid";"V";"V";"L";3;706,945000041742;56;1;NA
"RC";623,870000010356;"u";1;1;"learn";1;"invalid";"V";"V";"L";8;623,870000010356;56;-1;NA
"RR";1021,7549999943;"u";4;1;"learn";1;"valid";"NonSalient";"G";"X";6;1021,7549999943;56;1;-1
"RR";488,399999972899;"u";2;1;"test";1;"invalid";"Salient";"V";NA;2;488,399999972899;56;-1;1
"RR";605,855000030715;"u";2;1;"learn";1;"valid";"G";"G";"X";8;605,855000030715;56;1;NA
